gene_id	mean_expr	sd_expr	cv
YBR208C	-1e-04	0.6275	10478.4934
YMR154C	1e-04	0.4305	4520.6228
YLL006W	4e-04	0.5299	1402.1115
YPR037C	-3e-04	0.4483	1337.0183
YGR180C	-6e-04	0.7634	1313.1307
YDR510W	-4e-04	0.4421	1073.7432
YDR323C	6e-04	0.5325	957.318
YOR363C	-6e-04	0.544	913.9406
YNR023W	4e-04	0.3663	904.9297
YJR108W	-6e-04	0.5391	900.3927
YBR136W	5e-04	0.47	898.2003
YAL018C	-9e-04	0.7363	800.1102
YDR352W	6e-04	0.4031	692.1541
YNR050C	0.0017	1.1212	655.661
YKR007W	-7e-04	0.4101	616.8899
YGL127C	8e-04	0.4576	598.1693
YPL174C	0.0011	0.677	593.3062
YOL038W	0.0012	0.6736	560.1869
YOL086C	0.0014	0.7061	509.9371
YLL043W	7e-04	0.3181	484.1985
YBR102C	-8e-04	0.3977	480.0763
YDL080C	0.001	0.429	442.0116
YNL165W	0.0013	0.5329	408.0901
YGL210W	-0.0011	0.4531	407.5122
YDR308C	-0.001	0.3666	382.1363
YPL139C	0.0013	0.4871	370.6654
YOR357C	-0.0016	0.5639	355.9404
YNL171C	-9e-04	0.3141	346.747
YGL261C	0.0017	0.5455	313.7943
YER017C	0.0015	0.4436	303.444
YDR089W	0.002	0.5789	283.5759
YOL104C	0.0025	0.6929	275.4969
YHR034C	-0.0023	0.6099	267.4036
YPL218W	0.0019	0.4853	261.9238
YKL203C	0.0018	0.4659	259.3317
YIL161W	-0.002	0.5194	258.1667
YNL289W	-0.0016	0.4073	254.9241
YLR253W	0.0016	0.3853	234.1615
YKL175W	-0.002	0.4619	228.2234
YKL108W	-0.0022	0.4698	218.2098
YDL159W	0.0015	0.3103	213.1899
YBL098W	0.0025	0.5316	210.1112
YOR353C	0.0021	0.4212	204.556
YNL070W	-0.0026	0.5229	202.6272
YNR035C	0.003	0.5931	200.9369
YLR094C	-0.0026	0.5212	200.383
YER185W	-0.0034	0.6786	198.3363
YBR262C	-0.0024	0.4749	195.7707
YPR054W	-0.0026	0.5004	195.711
YNL167C	-0.0023	0.4366	192.3997
YNL158W	0.0019	0.3541	187.8074
YHR166C	0.0022	0.3979	184.6039
YJL160C	-0.0042	0.7661	181.4015
YGR087C	-0.005	0.8925	180.1251
YMR303C	-0.0037	0.6553	177.6694
YJR120W	0.0032	0.5703	177.297
YBL065W	0.0042	0.7381	176.93
YLR024C	-0.0027	0.4675	174.8166
YOR372C	0.0021	0.3735	174.5744
YFR020W	-0.0025	0.4414	174.4718
YMR086C-A	-0.0028	0.4829	172.8988
YLR421C	0.0029	0.4841	166.3051
YDR419W	0.0029	0.4731	160.8192
YDR006C	0.0035	0.5197	150.3822
YIL138C	0.0045	0.6701	150.0748
YIL154C	-0.0036	0.5383	149.3255
YDR174W	-0.0039	0.5855	149.2055
YLL059C	-0.0034	0.5034	148.5287
YDL052C	-0.004	0.5779	144.0471
YMR066W	0.0025	0.3557	143.6328
YGL215W	-0.0034	0.4817	140.4393
YGL251C	-0.0036	0.4899	136.9867
YMR237W	0.0045	0.6099	134.8395
YFL006W	-0.0036	0.469	130.6183
YHR083W	-0.0029	0.3766	129.0534
YGL040C	0.0034	0.4415	128.735
YJR046W	0.0052	0.6728	128.4018
YMR031W-A	0.0053	0.6781	128.3892
YBL051C	-0.0037	0.4703	127.6461
YPR195C	0.0043	0.5418	124.9098
YPR071W	0.0036	0.4476	124.7319
YBR148W	0.0052	0.6515	124.4511
YOR076C	-0.0047	0.5576	119.6884
YGR226C	0.0074	0.8667	117.3914
YOL075C	-0.0036	0.4046	112.1926
YPL208W	0.0059	0.6564	111.9849
YLR122C	0.0069	0.7694	111.7938
YGR270W	0.0032	0.3573	111.237
YHR033W	0.0087	0.967	111.0734
YMR112C	-0.0037	0.4152	110.9301
YGL086W	0.0045	0.4991	110.1828
YDL193W	-0.0054	0.5946	109.377
YMR151W	0.0041	0.4484	109.2774
YPR111W	-0.0039	0.4256	108.6578
YBR163W	0.0047	0.5022	106.637
YDR283C	-0.0041	0.427	105.0494
YDL172C	-0.0037	0.3912	104.4124
YJL108C	-0.0077	0.7847	101.7668
YBR013C	-0.0044	0.4406	100.3534
YKL114C	-0.0037	0.3741	99.9552
YDR281C	-0.0106	1.0364	98.205
YDR163W	-0.0044	0.4361	98.0627
YGR006W	-0.0051	0.4951	96.6255
YER190W	-0.0053	0.5122	96.4295
YPR040W	0.0057	0.5426	94.4769
YDR051C	-0.0044	0.411	93.0829
YPR046W	-0.005	0.4657	92.9224
YOL114C	-0.0052	0.4832	92.0311
YNL245C	-0.0041	0.3755	91.4728
YGR040W	0.0052	0.4688	90.0722
YDR151C	0.005	0.4487	89.8451
YBR196C	-0.0078	0.6959	89.6632
YOR157C	-0.0069	0.617	89.5031
YJL216C	-0.0062	0.5521	88.7192
YBR103W	0.0047	0.399	84.7964
YJR055W	-0.0061	0.5168	84.4658
YOR331C	-0.007	0.577	82.858
YMR165C	0.0068	0.5561	82.2071
YBR236C	-0.0046	0.3807	81.958
YEL063C	0.009	0.7373	81.8714
YER005W	0.0046	0.3713	80.1608
YLR116W	0.005	0.4038	80.0971
YLL063C	-0.0065	0.5192	79.5137
YBR110W	-0.0061	0.4741	78.2058
YLR396C	0.0044	0.3309	75.8741
YBR002C	0.0059	0.4473	75.4254
YHR060W	-0.0066	0.5007	75.298
YPR197C	0.0063	0.4742	74.7626
YBR274W	-0.0043	0.3195	74.5877
YOL073C	-0.0091	0.6722	74.1925
YFL031W	0.009	0.6633	73.5914
YHR092C	-0.01	0.7332	73.3172
YPL136W	-0.0116	0.845	72.5626
YHL038C	-0.0048	0.344	71.6172
YGL126W	-0.008	0.5753	71.4827
YPL215W	-0.0066	0.4721	71.454
YLR364W	0.0076	0.5411	71.4365
YMR289W	-0.0056	0.4027	71.3924
YKR002W	-0.0052	0.3735	71.3612
YJR020W	0.0107	0.7582	71.0237
YAR060C	-0.007	0.4979	70.7059
YGR047C	-0.0057	0.3919	69.0197
YBR229C	0.007	0.4774	68.1411
YOL011W	0.01	0.6736	67.2451
YMR204C	0.0067	0.4462	66.9306
YAR066W	-0.0167	1.115	66.6619
YOR336W	0.0075	0.4951	65.626
YOR393W	0.0137	0.8964	65.3469
YBR033W	0.0076	0.496	65.1182
YDR483W	0.0054	0.3488	64.5486
YNL190W	-0.0083	0.5274	63.8973
YCR009C	-0.0058	0.3712	63.8477
YHR043C	0.0127	0.7982	63.0245
YPL205C	0.0066	0.4182	62.9293
YKL027W	0.0069	0.4314	62.695
YKL032C	0.0058	0.3638	62.5798
YJR113C	0.0084	0.517	61.7855
YLR027C	0.0083	0.5074	61.0795
YBR099C	0.0115	0.6989	60.7237
YJR151C	0.005	0.3053	60.6983
YCL069W	-0.0107	0.6406	59.8109
YOR358W	0.0077	0.4609	59.7342
YPR084W	0.0074	0.431	58.6318
YPR161C	-0.0057	0.3302	58.1929
YEL001C	0.0123	0.7149	58.1187
YGR059W	-0.0137	0.7933	57.9345
YMR290W-A	0.0144	0.8262	57.3564
YNL250W	-0.0072	0.4103	57.1051
YDL246C	0.0101	0.5773	57.0704
YOR107W	0.0184	1.043	56.8025
YJL083W	0.01	0.5639	56.3532
YDR237W	-0.01	0.5556	55.5573
YHR099W	-0.0095	0.5284	55.5297
YGR279C	0.0147	0.8091	55.047
YPL022W	-0.0081	0.4422	54.6981
YPR188C	0.0088	0.4777	54.5508
YAR009C	0.0102	0.5528	54.0238
YDL192W	-0.012	0.6481	53.9522
YKL220C	0.0095	0.5086	53.7757
YER111C	0.0087	0.4689	53.7696
YNL138W	0.0122	0.6534	53.7465
YJR021C	-0.0097	0.5197	53.5911
YGR021W	0.0104	0.5562	53.5057
YMR238W	0.0081	0.4343	53.3306
YMR019W	0.0113	0.596	52.5329
YGL200C	-0.0112	0.5852	52.4557
YJL222W	-0.0102	0.5215	51.2301
YIL066C	-0.0311	1.5754	50.6848
YBR094W	-0.0075	0.379	50.5282
YLR309C	0.0115	0.578	50.2579
YDL206W	0.0268	1.3441	50.1917
YKR037C	-0.0076	0.3826	50.1334
YKL075C	-0.0067	0.3355	50.0213
YDR072C	0.0105	0.5256	49.8216
YGR031W	-0.0089	0.4381	49.4556
YBL089W	0.0075	0.3588	48.1298
YNL230C	-0.0138	0.6617	48.0701
YNR030W	-0.0115	0.5493	47.9176
YGL100W	-0.008	0.3828	47.7482
YNL047C	-0.0079	0.377	47.6888
